x_boundary2	
0	4.720682662
23.56363636	4.694101495
23.07272727	4.66276304
22.58181818	4.627347263
22.09090909	4.588306145
21.6	4.545965067
21.10909091	4.500570119
20.61818182	4.452313627
20.12727273	4.401349334
19.63636364	4.347802029
19.14545455	4.291774011
18.65454545	4.233349567
18.16363636	4.172598185
17.67272727	4.109576908
17.18181818	4.044332079
16.69090909	3.976900651
16.2	3.907311174
15.70909091	3.835584524
15.21818182	3.761734437
14.72727273	3.685767874
14.23636364	3.607685239
13.74545455	3.527480484
13.25454545	3.445141078
12.76363636	3.36064787
12.27272727	3.273974828
11.78181818	3.185088642
11.29090909	3.093948196
10.8	3.000503857
10.30909091	2.904696583
9.818181818	2.806456765
9.327272727	2.705702794
8.836363636	2.602339223
8.345454545	2.496254445
7.854545455	2.387317712
7.363636364	2.275375267
6.872727273	2.160245279
6.381818182	2.041711061
5.890909091	1.919511849
5.4	1.793329937
4.909090909	1.662772258
4.418181818	1.527343062
3.927272727	1.386401753
3.436363636	1.239094402
2.945454545	1.084234999
2.454545455	1.003460585
2.209090909	0.920081002
1.963636364	0.833714653
1.718181818	0.743854405
1.472727273	0.649797352
1.227272727	0.550511965
0.981818182	0.444354429
0.736363636	0.328339706
0.490909091	0.264818833
0.368181818	0.195527948
0.245454545	0.116349274
0.122727273	6.89776E-12
0	0
